GeneId,GeneName
ENSG00000251953,RNA5SP522
ENSG00000252667,RNA5SP523
ENSG00000212536,RNA5SP474
ENSG00000200313,RNA5-8SP7
ENSG00000222500,RNA5SP475
ENSG00000252422,RNA5SP476
ENSG00000199509,RNA5SP477
ENSG00000201527,RNA5SP478
ENSG00000201728,RNA5SP479
ENSG00000283433,RNA5SP532
ENSG00000275305,RNA5SP528
ENSG00000252649,RNA5SP480
ENSG00000252623,RNA5SP481
ENSG00000212571,RNA5SP482
ENSG00000200301,RNA5SP483
ENSG00000238908,RNA5SP484
ENSG00000201923,RNA5SP485
ENSG00000251770,RNA5SP486
ENSG00000222118,RNA5SP487
ENSG00000212331,RNA5SP297
ENSG00000201861,RNA5SP298
ENSG00000212505,RNA5SP299
ENSG00000212499,RNA5SP300
ENSG00000199407,RNA5SP301
ENSG00000201766,RNA5SP302
ENSG00000252001,RNA5SP303
ENSG00000223131,RNA5SP304
ENSG00000199535,RNA5SP305
ENSG00000223019,RNA5SP306
ENSG00000199733,RNA5SP307
ENSG00000199402,RNA5SP308
ENSG00000252479,RNA5SP309
ENSG00000239152,RNA5SP310
ENSG00000238405,RNA5SP311
ENSG00000252877,RNA5SP312
ENSG00000252149,RNA5SP315
ENSG00000222108,RNA5SP317
ENSG00000252161,RNA5SP318
ENSG00000199638,RNA5SP319
ENSG00000252072,RNA5SP320
ENSG00000199592,RNA5SP321
ENSG00000200487,RNA5SP322
ENSG00000212396,RNA5SP323
ENSG00000202047,RNA5SP324
ENSG00000200626,RNA5SP325
ENSG00000200079,RNA5SP326
ENSG00000199364,RNA5SP327
ENSG00000222740,RNA5SP328
ENSG00000278233,RNA5-8SN2
ENSG00000275215,RNA5-8SN3
ENSG00000278189,RNA5-8SN1
ENSG00000201812,RNA5SP488
ENSG00000238627,RNA5SP489
ENSG00000252950,RNA5SP490
ENSG00000199806,RNA5SP491
ENSG00000223262,RNA5SP492
